,precision,recall,f1-score,support
блюдце,0.5675675675675675,0.6176470588235294,0.5915492957746479,34.0
игрушка,0.5,1.0,0.6666666666666666,1.0
изразец,0.9302325581395349,0.8888888888888888,0.9090909090909091,45.0
крышка,0.8,0.5517241379310345,0.6530612244897959,29.0
миска,0.6,0.75,0.6666666666666666,12.0
плитка,0.5,0.5,0.5,4.0
тарелка,0.7195121951219512,0.7564102564102564,0.7375,78.0
accuracy,0.729064039408867,0.729064039408867,0.729064039408867,0.729064039408867
macro avg,0.6596160458327219,0.7235243345791014,0.6749335375269551,203.0
weighted avg,0.739801544990584,0.729064039408867,0.7298138381394073,203.0
