split,image_file,group_key,true_label,pred_label,pred_id,confidence,max_probability,entropy,margin,sample_loss,correct,material_group_pred,material_group_confidence,fragm_norm_pred,fragm_norm_confidence,code,name_raw,name_norm,material_raw,material_norm,material_group,fragm_raw,fragm_norm,quality_flag,label_is_uncertain,group_has_conflict,is_very_rare,layout_mode,foreground_ratio,bg_type,has_scale_bar,has_overlay_text,outlier_score,review_bucket,uncertainty_score,reason_flag,review_score
val_gold,dataset/КБ-2014-Р1-0094_orig.jpg,КБ-2014-Р1,плитка,плитка,5,0.9645898938179016,0.9645898938179016,0.20494022965431213,0.9509300589561462,0.03605226054787636,True,керамика,0.9682711958885193,целый,0.7757691740989685,КБ-2014-Р1-0094,Плитка,плитка,Глина,глина,керамика,Целый,целый,group_conflict,False,True,False,multi-view,0.462019,white,False,True,,possible_label_noise,0.20494022965431213,possible_label_noise|layout=multi-view|bg=white,0.7931662186318792
val_gold,dataset/М102-2012-1-0949_orig.jpg,М102-2012-1,изразец,изразец,2,0.9635068774223328,0.9635068774223328,0.20583194494247437,0.942615807056427,0.03717563673853874,True,керамика,0.9971700310707092,фрагмент,0.9946542978286743,М102-2012-1-0949,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.223087,white,False,False,,possible_label_noise,0.20583194494247437,possible_label_noise|layout=multi-view|bg=white,0.7907188570336913
val_gold,dataset/КБ-2014-Р6-068_orig.jpg,КБ-2014-Р6,крышка,крышка,3,0.961168646812439,0.961168646812439,0.20829235017299652,0.9363420009613037,0.03960539773106575,True,фарфор_фаянс,0.9802002906799316,фрагмент,0.5259509086608887,КБ-2014-Р6-068,Крышка,крышка,Фарфор,фарфор,фарфор_фаянс,Целый,целый,group_conflict,False,True,False,multi-view,0.190404,white,True,True,,possible_label_noise,0.20829235017299652,possible_label_noise|layout=multi-view|bg=white,0.7882714954355035
val_gold,dataset/М102-2012-1-0847_orig.jpg,М102-2012-1,тарелка,тарелка,6,0.9591266512870789,0.9591266512870789,0.22884908318519592,0.9373752474784851,0.041732147336006165,True,фарфор_фаянс,0.9756912589073181,фрагмент,0.9986340403556824,М102-2012-1-0847,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.245573,white,True,True,,possible_label_noise,0.22884908318519592,possible_label_noise|layout=multi-view|bg=white,0.7824072431532553
val_gold,dataset/КБ-2014-Р6-137_orig.jpg,КБ-2014-Р6,крышка,крышка,3,0.9558081030845642,0.9558081030845642,0.23360994458198547,0.92845618724823,0.04519808664917946,True,фарфор_фаянс,0.9374319314956665,фрагмент,0.5159839391708374,КБ-2014-Р6-137,Крышка,крышка,Фарфор,фарфор,фарфор_фаянс,Целый,целый,group_conflict,False,True,False,multi-view,0.215204,white,True,True,,possible_label_noise,0.23360994458198547,possible_label_noise|layout=multi-view|bg=white,0.7784820490427521
val_gold,dataset/М102-2012-1-0603_orig.jpg,М102-2012-1,изразец,изразец,2,0.9427189230918884,0.9427189230918884,0.2892826497554779,0.9071055054664612,0.05898711457848549,True,керамика,0.9981168508529663,фрагмент,0.9837659597396851,М102-2012-1-0603,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,uncertain_label|group_conflict,True,True,False,multi-view,0.203492,white,True,True,,possible_label_noise,0.2892826497554779,possible_label_noise|layout=multi-view|bg=white,0.7619058990488926
val_gold,dataset/КБ-2014-Р6-091_orig.jpg,КБ-2014-Р6,крышка,крышка,3,0.9403888583183289,0.9403888583183289,0.31206199526786804,0.9106059074401855,0.06146182119846344,True,керамика,0.9690873622894287,фрагмент,0.97169029712677,КБ-2014-Р6-091,Крышка,крышка,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.156181,white,True,True,,possible_label_noise,0.31206199526786804,possible_label_noise|layout=multi-view|bg=white,0.7575194792789596
val_gold,dataset/Кроп-2013-155_orig.jpg,Кроп-2013-155,блюдце,блюдце,0,0.9325176477432251,0.9325176477432251,0.3393259346485138,0.8990520238876343,0.06986720114946365,True,фарфор_фаянс,0.985885500907898,фрагмент,0.9930238723754883,Кроп-2013-155,Блюдце,блюдце,Фарфор,фарфор,фарфор_фаянс,Фрагмент,фрагмент,uncertain_label,True,False,False,multi-view,0.236026,white,True,True,,possible_label_noise,0.3393259346485138,possible_label_noise|layout=multi-view|bg=white,0.7506856979108388
val_gold,dataset/М102-2012-1-0611_orig.jpg,М102-2012-1,изразец,изразец,2,0.9297621846199036,0.9297621846199036,0.34640777111053467,0.8899365067481995,0.07282646745443344,True,керамика,0.9928439259529114,фрагмент,0.9961785078048706,М102-2012-1-0611,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.308881,white,False,True,,possible_label_noise,0.34640777111053467,possible_label_noise|layout=multi-view|bg=white,0.7404350258586575
val_gold,dataset/М102-2012-1-0851_orig.jpg,М102-2012-1,тарелка,тарелка,6,0.9283220767974854,0.9283220767974854,0.35847771167755127,0.898763120174408,0.07437653094530106,True,фарфор_фаянс,0.8595497608184814,фрагмент,0.9799003005027771,М102-2012-1-0851,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,single-fragment,0.176686,white,True,True,,possible_label_noise,0.35847771167755127,possible_label_noise|layout=single-fragment|bg=white,0.7321234119782214
